Input,Output,Time
0.478,150,1.219
0.478,150,1.22
0.478,150,1.221
0.478,150,1.222
0.478,150,1.223
0.478,150,1.224
0.478,150,1.225
0.478,150,1.226
0.478,150,1.227
0.478,150,1.228
0.478,150,1.229
0.478,150,1.23
0.478,150,1.231
0.478,150,1.232
0.478,150,1.233
0.478,150,1.234
0.478,150,1.235
0.478,150,1.236
0.478,150,1.237
0.478,150,1.238
0.478,150,1.239
0.478,150,1.24
0.478,150,1.241
0.478,150,1.242
0.478,150,1.243
0.478,150,1.244
0.478,150,1.245
0.478,150,1.246
0.478,150,1.247
0.478,150,1.248
0.478,150,1.249
0.478,150,1.25
0.478,150,1.251
0.478,150,1.252
0.478,150,1.253
0.478,150,1.254
0.478,150,1.255
0.478,150,1.256
0.478,150,1.257
0.478,150,1.258
0.478,150,1.259
0.478,150,1.26
0.478,150,1.261
0.478,150,1.262
0.478,150,1.263
0.478,150,1.264
0.478,150,1.265
0.478,150,1.266
0.478,150,1.267
0.478,150,1.268
0.478,150,1.269
0.478,150,1.27
0.478,150,1.271
0.478,150,1.272
0.478,150,1.273
0.478,150,1.274
0.478,150,1.275
0.478,150,1.276
0.478,150,1.277
0.478,150,1.278
0.478,150,1.279
0.478,150,1.28
0.478,150,1.281
0.478,150,1.282
0.478,150,1.283
0.478,150,1.284
0.478,150,1.285
0.478,150,1.286
0.478,150,1.287
0.478,150,1.288
0.478,150,1.289
0.478,150,1.29
0.478,150,1.291
0.478,150,1.292
0.478,150,1.293
0.478,150,1.294
0.478,150,1.295
0.478,150,1.296
0.478,150,1.297
0.478,150,1.298
0.478,150,1.299
0.478,150,1.3
0.478,150,1.301
0.478,150,1.302
0.478,150,1.303
0.478,150,1.304
0.478,150,1.305
0.478,150,1.306
0.478,150,1.307
0.478,150,1.308
0.478,150,1.309
0.478,150,1.31
0.478,150,1.311
0.478,150,1.312
0.478,150,1.313
0.478,150,1.314
0.478,150,1.315
0.478,150,1.316
0.478,150,1.317
0.478,150,1.318
0.478,150,1.319
0.478,150,1.32
0.478,150,1.321
0.478,150,1.322
0.478,150,1.323
0.478,150,1.324
0.478,150,1.325
0.478,150,1.326
0.478,150,1.327
0.478,150,1.328
0.478,150,1.329
0.478,150,1.33
0.478,150,1.331
0.478,150,1.332
0.478,150,1.333
0.478,150,1.334
0.478,150,1.335
0.478,150,1.336
