Input,Output,Time
0.4302,151.876105394493,5.42
0.4302,151.886615678633,5.43
0.4302,151.897085285323,5.44
0.4302,151.907514527669,5.45
0.4302,151.917903128991,5.46
0.4302,151.928251408909,5.47
0.4302,151.938559099869,5.48
0.4302,151.948826527486,5.49
0.4302,151.959053432939,5.5
0.4302,151.96924014735,5.51
0.4302,151.979386420246,5.52
0.4302,151.989492587798,5.53
0.4302,151.99955840752,5.54
0.4302,152.009584220191,5.55
0.4302,152.01956979097,5.56
0.4302,152.029515464828,5.57
0.4302,152.039421014237,5.58
0.4302,152.049286787971,5.59
0.4302,152.0591125655,5.6
0.4302,152.068898699028,5.61
0.4302,152.078644974723,5.62
0.4302,152.08835174787,5.63
0.4302,152.098018811046,5.64
0.4302,152.107646522287,5.65
0.4302,152.117234680303,5.66
0.4302,152.126783645567,5.67
0.4302,152.136293222663,5.68
0.4302,152.145763774202,5.69
0.4302,152.155195110393,5.7
0.4302,152.164587595707,5.71
0.4302,152.173941045738,5.72
0.4302,152.18325582655,5.73
0.4302,152.192531758897,5.74
0.4302,152.201769210188,5.75
0.4302,152.210968006118,5.76
0.4302,152.220128515203,5.77
0.4302,152.229250567873,5.78
0.4302,152.238334533528,5.79
0.4302,152.247380247137,5.8
0.4302,152.256388078774,5.81
0.4302,152.265357867757,5.82
0.4302,152.274289984633,5.83
0.4302,152.283184272893,5.84
0.4302,152.292041103369,5.85
0.4302,152.300860323552,5.86
0.4302,152.309642304383,5.87
0.4302,152.31838689719,5.88
0.4302,152.327094472858,5.89
0.4302,152.335764886393,5.9
0.4302,152.344398508465,5.91
0.4302,152.352995197615,5.92
0.4302,152.361555324149,5.93
0.4302,152.370078749998,5.94
0.4302,152.378565844965,5.95
0.4302,152.387016474239,5.96
0.4302,152.395431006986,5.97
0.4302,152.403809311525,5.98
0.4302,152.412151756263,5.99
0.4302,152.420458212525,6
0.4302,152.428729047841,6.01
0.4302,152.436964136427,6.02
0.4302,152.445163844827,6.03
0.4302,152.453328050035,6.04
0.4302,152.461457117508,6.05
0.4302,152.469550926911,6.06
0.4302,152.477609842518,6.07
0.4302,152.485633746563,6.08
0.4302,152.493623002046,6.09
0.4302,152.501577493676,6.1
0.4302,152.509497583091,6.11
0.4302,152.517383157383,6.12
0.4302,152.525234576753,6.13
0.4302,152.533051730585,6.14
0.4302,152.540834977567,6.15
0.4302,152.548584209294,6.16
0.4302,152.556299782871,6.17
0.4302,152.563981592024,6.18
0.4302,152.571629992211,6.19
0.4302,152.579244879211,6.2
0.4302,152.586826606774,6.21
0.4302,152.594375072661,6.22
0.4302,152.601890628859,6.23
0.4302,152.609373175041,6.24
0.4302,152.616823061377,6.25
0.4302,152.624240189385,6.26
0.4302,152.631624907372,6.27
0.4302,152.638977118638,6.28
0.4302,152.64629716958,6.29
0.4302,152.65358496522,6.3
0.4302,152.660840850005,6.31
0.4302,152.66806473062,6.32
0.4302,152.675256949523,6.33
0.4302,152.682417415009,6.34
0.4302,152.689546467511,6.35
0.4302,152.696644016879,6.36
0.4302,152.703710401492,6.37
0.4302,152.710745532704,6.38
0.4302,152.717749746808,6.39
0.4302,152.724722956617,6.4
0.4302,152.731665496309,6.41
0.4302,152.738577280109,6.42
0.4302,152.745458640058,6.43
0.4302,152.752309491749,6.44
0.4302,152.759130165063,6.45
0.4302,152.765920576919,6.46
0.4302,152.772681055017,6.47
0.4302,152.779411517561,6.48
0.4302,152.786112290055,6.49
0.4302,152.79278329195,6.5
0.4302,152.799424846534,6.51
0.4302,152.806036874471,6.52
0.4302,152.81261969682,6.53
0.4302,152.819173235419,6.54
0.4302,152.825697809089,6.55
0.4302,152.832193340809,6.56
0.4302,152.838660147147,6.57
0.4302,152.845098152193,6.58
0.4302,152.851507670255,6.59
0.4302,152.857888626503,6.6
0.4302,152.864241332974,6.61
0.4302,152.870565715889,6.62
0.4302,152.876862085011,6.63
0.4302,152.883130367583,6.64
0.4302,152.889370871086,6.65
0.4302,152.89558352376,6.66
0.4302,152.901768630802,6.67
0.4302,152.90792612142,6.68
0.4302,152.914056298526,6.69
0.4302,152.920159092273,6.7
0.4302,152.926234803284,6.71
0.4302,152.932283362633,6.72
0.4302,152.938305068656,6.73
0.4302,152.944299853324,6.74
0.4302,152.950268012686,6.75
0.4302,152.956209479588,6.76
0.4302,152.962124547796,6.77
0.4302,152.968013151009,6.78
0.4302,152.973875580711,6.79
0.4302,152.979711771435,6.8
0.4302,152.985522012386,6.81
